time;Isotope value for the month
1.998000000000000000e+03;-2.233771273479300490e+01
1.998083333333333258e+03;-2.319352902934450000e+01
1.998166666666666742e+03;-2.390811086491902770e+01
1.998250000000000000e+03;-2.388214033031718841e+01
1.998333333333333258e+03;-2.327898142541795323e+01
1.998416666666666742e+03;-2.279626618174730623e+01
1.998500000000000000e+03;-2.365612001382880436e+01
1.998583333333333258e+03;-2.360637209719138596e+01
1.998666666666666742e+03;-2.332272044493287311e+01
1.998750000000000000e+03;-2.292950648548977099e+01
1.998833333333333258e+03;-2.236079648209657833e+01
1.998916666666666742e+03;-2.171228303284756933e+01
1.999000000000000000e+03;-2.218528348741223510e+01
1.999083333333333258e+03;-2.289328072768940103e+01
1.999166666666666742e+03;-2.359061787174459468e+01
1.999250000000000000e+03;-2.364602638507412991e+01
1.999333333333333258e+03;-2.340743823970083071e+01
1.999416666666666742e+03;-2.295797420491316387e+01
1.999500000000000000e+03;-2.313968707679144998e+01
1.999583333333333258e+03;-2.331456635448064318e+01
1.999666666666666742e+03;-2.336587342288200730e+01
1.999750000000000000e+03;-2.283985761664266434e+01
1.999833333333333258e+03;-2.231463370899021825e+01
1.999916666666666742e+03;-2.190775503210403841e+01
2.000000000000000000e+03;-2.218903592524154078e+01
2.000083333333333258e+03;-2.272405090364165758e+01
2.000166666666666742e+03;-2.328896477411415233e+01
2.000250000000000000e+03;-2.358576958290894865e+01
2.000333333333333258e+03;-2.344159333859376559e+01
2.000416666666666742e+03;-2.298878331677730458e+01
2.000500000000000000e+03;-2.315551964928217643e+01
2.000583333333333258e+03;-2.314501691160224439e+01
2.000666666666666742e+03;-2.279711165752998880e+01
2.000750000000000000e+03;-2.257876200806057199e+01
2.000833333333333258e+03;-2.211188278157613851e+01
2.000916666666666742e+03;-2.190983858828791497e+01
2.001000000000000000e+03;-2.213148616963580650e+01
2.001083333333333258e+03;-2.292909422427374722e+01
2.001166666666666742e+03;-2.320887938192916522e+01
2.001250000000000000e+03;-2.340843784205766553e+01
2.001333333333333258e+03;-2.303876317635891624e+01
2.001416666666666742e+03;-2.258427123288769423e+01
2.001500000000000000e+03;-2.291535921575722057e+01
2.001583333333333258e+03;-2.269096592715037275e+01
2.001666666666666742e+03;-2.267626134159719342e+01
2.001750000000000000e+03;-2.259355829745605604e+01
2.001833333333333258e+03;-2.228278479700168191e+01
2.001916666666666742e+03;-2.191615787712274255e+01
2.002000000000000000e+03;-2.202467758741736148e+01
2.002083333333333258e+03;-2.289917043156860643e+01
2.002166666666666742e+03;-2.331056291417927184e+01
2.002250000000000000e+03;-2.344097451223917972e+01
2.002333333333333258e+03;-2.291766000376373924e+01
2.002416666666666742e+03;-2.308924906612073613e+01
2.002500000000000000e+03;-2.371217664414118786e+01
2.002583333333333258e+03;-2.383662462364815582e+01
2.002666666666666742e+03;-2.425961394064139398e+01
2.002750000000000000e+03;-2.354169475075918427e+01
2.002833333333333258e+03;-2.253250836617528918e+01
2.002916666666666742e+03;-2.151165330942937004e+01
2.003000000000000000e+03;-2.238100485894353042e+01
2.003083333333333258e+03;-2.271230476620093341e+01
2.003166666666666742e+03;-2.329866308441317813e+01
2.003250000000000000e+03;-2.398120088070553280e+01
2.003333333333333258e+03;-2.391400728325012182e+01
2.003416666666666742e+03;-2.383239181687375563e+01
2.003500000000000000e+03;-2.344440890167980740e+01
2.003583333333333258e+03;-2.318416807272432578e+01
2.003666666666666742e+03;-2.324126507662689534e+01
2.003750000000000000e+03;-2.265176265930490729e+01
2.003833333333333258e+03;-2.220302602839959505e+01
2.003916666666666742e+03;-2.162762343953502508e+01
2.004000000000000000e+03;-2.217900096925978204e+01
2.004083333333333258e+03;-2.291214894684923564e+01
2.004166666666666742e+03;-2.332989044233407938e+01
2.004250000000000000e+03;-2.329691065987385201e+01
2.004333333333333258e+03;-2.268415393846258610e+01
2.004416666666666742e+03;-2.271921436226710611e+01
2.004500000000000000e+03;-2.326128475990048017e+01
2.004583333333333258e+03;-2.356281326334623571e+01
2.004666666666666742e+03;-2.332352752061379775e+01
2.004750000000000000e+03;-2.339718454930384794e+01
2.004833333333333258e+03;-2.227514758955020824e+01
2.004916666666666742e+03;-2.178769602662949012e+01
2.005000000000000000e+03;-2.232001289082787210e+01
2.005083333333333258e+03;-2.339277442625565939e+01
2.005166666666666742e+03;-2.334163899682809529e+01
2.005250000000000000e+03;-2.344087180047684527e+01
2.005333333333333258e+03;-2.279408538031512776e+01
2.005416666666666742e+03;-2.284544510420574071e+01
2.005500000000000000e+03;-2.311869626218517837e+01
2.005583333333333258e+03;-2.334283835691893216e+01
2.005666666666666742e+03;-2.311950396369244132e+01
2.005750000000000000e+03;-2.291496728497681801e+01
