year;emission_year_Tg_ch4
1970;9.380712704042638
1971;9.362357963204046
1972;9.485806681269185
1973;9.66042985772753
1974;9.870676125034693
1975;10.144735954761476
1976;10.253870834323322
1977;10.421224179280689
1978;10.634333933934371
1979;10.876535720815658
1980;11.130624165529774
1981;11.25980395330786
1982;11.425641036305748
1983;11.596463138800672
1984;11.925686956822053
1985;12.145280918983268
1986;12.328544628778555
1987;12.507571357699412
1988;12.746803655389154
1989;13.141196850872964
1990;13.22198502984316
1991;13.325606593511822
1992;13.46009499755047
1993;13.510739160608626
1994;13.620595977297405
1995;13.70856886454112
1996;13.880349785821878
1997;13.937545958115495
1998;13.97368066937638
1999;14.155974571388407
2000;14.259806287417042
2001;14.197647571161047
2002;14.377231137596288
2003;14.706869201420494
2004;14.983161456840735
2005;15.159762083659679
2006;15.337444986961788
2007;15.608019280103507
2008;15.832998716584994
2009;15.52900821671309
2010;15.916968175820452
2011;16.091171782882796
2012;16.384212752615532
2013;16.537353951307033
2014;16.603776069023443
2015;16.525859425389108
2016;16.359398916239886
2017;16.517969963832197
2018;16.554588152031116
2019;16.776011666463777
2020;16.866839170972767
2021;17.010367341966166
2022;17.115610195257993
2023;17.148998663162725
