time;LDF_Tg
01.01.1970;1.0035371557643171
01.02.1970;1.022480473224469
01.03.1970;1.1145841617469452
01.04.1970;1.3581593816266382
01.05.1970;1.7270611746963445
01.06.1970;2.2162967101825046
01.07.1970;2.4206452260212603
01.08.1970;2.419104577558507
01.09.1970;2.0629311324904465
01.10.1970;1.5172459418722288
01.11.1970;1.2738359658960074
01.12.1970;0.986200722307667
01.01.1971;1.0977181007001218
01.02.1971;1.1419432406394623
01.03.1971;1.1903633787971986
01.04.1971;1.5411292889147636
01.05.1971;1.8833782534119323
01.06.1971;2.2254340053943142
01.07.1971;2.70552466050759
01.08.1971;2.689660388607636
01.09.1971;2.145119047103205
01.10.1971;1.6990333741041312
01.11.1971;1.2502213954938066
01.12.1971;1.1612723567292227
01.01.1972;1.0682591497442089
01.02.1972;1.1980176008064234
01.03.1972;1.3513463493564377
01.04.1972;1.5664321115334507
01.05.1972;1.8540883071162968
01.06.1972;2.315269944688115
01.07.1972;2.7615334691852405
01.08.1972;2.614529495882528
01.09.1972;2.0466984525097986
01.10.1972;1.689459955870827
01.11.1972;1.4030265497632561
01.12.1972;1.172779353564116
01.01.1973;1.1043037157825182
01.02.1973;1.1618118882736534
01.03.1973;1.2965314160225019
01.04.1973;1.5272741485085806
01.05.1973;2.035299251985145
01.06.1973;2.4425248651573455
01.07.1973;2.7429377203882006
01.08.1973;2.712276341541149
01.09.1973;2.238466945624816
01.10.1973;1.6572630329047633
01.11.1973;1.3226131828693866
01.12.1973;1.1174474701976715
01.01.1974;1.2045511714261956
01.02.1974;1.2428246520215034
01.03.1974;1.3682042815330449
01.04.1974;1.5518211319433675
01.05.1974;1.9966227231135167
01.06.1974;2.41917070180388
01.07.1974;2.6957966364716324
01.08.1974;2.723679112477075
01.09.1974;2.2407179730962365
01.10.1974;1.5967726842604633
01.11.1974;1.382133194584657
01.12.1974;1.2604811863634569
01.01.1975;1.2350595479305873
01.02.1975;1.2279136111471323
01.03.1975;1.342441534714488
01.04.1975;1.6205170807695692
01.05.1975;1.9413470670072932
01.06.1975;2.3795844359635288
01.07.1975;2.8816217044947954
01.08.1975;2.815278813327009
01.09.1975;2.342854817267332
01.10.1975;1.7238763081003794
01.11.1975;1.3301040589608781
01.12.1975;1.1727957114352678
01.01.1976;1.1681154984590945
01.02.1976;1.2094951800688691
01.03.1976;1.3269202947143772
01.04.1976;1.6300027436733424
01.05.1976;2.073575218020108
01.06.1976;2.640634946266977
01.07.1976;2.949495780189457
01.08.1976;2.7588340624083543
01.09.1976;2.245049477156912
01.10.1976;1.7556942764350338
01.11.1976;1.3698241829701416
01.12.1976;1.2254575599317143
01.01.1977;1.1946361733808584
01.02.1977;1.3469880543751462
01.03.1977;1.5283961465314728
01.04.1977;1.6933117593439877
01.05.1977;2.034488784823407
01.06.1977;2.4506194500389995
01.07.1977;2.783906722483292
01.08.1977;2.6858598168758716
01.09.1977;2.284983723392434
01.10.1977;1.917777519498684
01.11.1977;1.4836845793823468
01.12.1977;1.295827809544276
01.01.1978;1.2335691502050974
01.02.1978;1.312390098815117
01.03.1978;1.5185678364238342
01.04.1978;1.6665736338308685
01.05.1978;2.0732532494200884
01.06.1978;2.5222944620892047
01.07.1978;2.8562410875129363
01.08.1978;2.812144653721917
01.09.1978;2.4175602215284338
01.10.1978;1.8683047683390421
01.11.1978;1.4775542394074292
01.12.1978;1.296757685017519
01.01.1979;1.2238716117454636
01.02.1979;1.2831699920730457
01.03.1979;1.4772201167550472
01.04.1979;1.6606507781013982
01.05.1979;2.1721130014018546
01.06.1979;2.6733895703670467
01.07.1979;2.940531157406478
01.08.1979;2.8764902554757428
01.09.1979;2.4038567501034533
01.10.1979;1.91210647206131
01.11.1979;1.4544372302831836
01.12.1979;1.3400582018593916
01.01.1980;1.2073228766463575
01.02.1980;1.3816670186600932
01.03.1980;1.4812308681443727
01.04.1980;1.7603930582604959
01.05.1980;2.096199990812291
01.06.1980;2.674533817280814
01.07.1980;2.8946900251582894
01.08.1980;3.019043515931918
01.09.1980;2.5851187253305903
01.10.1980;1.9127371564197575
01.11.1980;1.4964253193018784
01.12.1980;1.2678414558457043
01.01.1981;1.233617135465056
01.02.1981;1.278770287143663
01.03.1981;1.6398757927029455
01.04.1981;1.7840547000332558
01.05.1981;2.188462029066622
01.06.1981;2.718645132043607
01.07.1981;2.968898382195251
01.08.1981;2.9034140066409546
01.09.1981;2.5328331239780995
01.10.1981;1.9860882396737474
01.11.1981;1.5456282192609807
01.12.1981;1.3198040898108716
01.01.1982;1.2877400550160856
01.02.1982;1.3334929613884756
01.03.1982;1.5149958108625308
01.04.1982;1.7639890396924902
01.05.1982;2.216298105868614
01.06.1982;2.7893627531039806
01.07.1982;3.148486833062002
01.08.1982;2.9633021613421358
01.09.1982;2.58684566654513
01.10.1982;1.92897444493183
01.11.1982;1.5658136061046204
01.12.1982;1.3335720679152634
01.01.1983;1.34452213377151
01.02.1983;1.291981759566666
01.03.1983;1.5648961845833658
01.04.1983;1.8674790302320048
01.05.1983;2.2167807744569443
01.06.1983;2.700638105725262
01.07.1983;3.253734617662337
01.08.1983;2.9967255608445083
01.09.1983;2.56869905764573
01.10.1983;1.9941618810645338
01.11.1983;1.6025444421425903
01.12.1983;1.3319912836842986
01.01.1984;1.3576973333957796
01.02.1984;1.3583980110710452
01.03.1984;1.521708450335759
01.04.1984;1.927190844586298
01.05.1984;2.1827200947308625
01.06.1984;2.7643404787688333
01.07.1984;3.1847354400067003
01.08.1984;3.0797596599696924
01.09.1984;2.5846319892248757
01.10.1984;2.0471544331400344
