time,CH4_MAN_monthly
1979-06-01,1.2683738
1979-07-01,1.3309152
1979-08-01,1.3042338
1979-09-01,1.1060641
1979-10-01,0.83324295
1979-11-01,0.614462
1979-12-01,0.55275345
1980-01-01,0.48421407
1980-02-01,0.54624933
1980-03-01,0.60809886
1980-04-01,0.8000451
1980-05-01,1.0015417
1980-06-01,1.2531278
1980-07-01,1.4345403
1980-08-01,1.3529437
1980-09-01,1.1226473
1980-10-01,0.8509266
1980-11-01,0.64267796
1980-12-01,0.54323614
1981-01-01,0.5057442
1981-02-01,0.5393069
1981-03-01,0.6670056
1981-04-01,0.80479914
1981-05-01,1.0117077
1981-06-01,1.3050724
1981-07-01,1.4034363
1981-08-01,1.3451132
1981-09-01,1.1166337
1981-10-01,0.81769884
1981-11-01,0.63162345
1981-12-01,0.51554006
1982-01-01,0.48425162
1982-02-01,0.5281
1982-03-01,0.6338849
1982-04-01,0.7853913
1982-05-01,1.050401
1982-06-01,1.2269622
1982-07-01,1.4063339
1982-08-01,1.3600286
1982-09-01,1.1346526
1982-10-01,0.84359246
1982-11-01,0.6395879
1982-12-01,0.5429105
1983-01-01,0.5263258
1983-02-01,0.5256574
1983-03-01,0.6369587
1983-04-01,0.7963969
1983-05-01,1.0188282
1983-06-01,1.2137797
1983-07-01,1.4251765
1983-08-01,1.3658842
1983-09-01,1.1254269
1983-10-01,0.8406637
1983-11-01,0.62289387
1983-12-01,0.5103751
1984-01-01,0.5142608
1984-02-01,0.52937424
1984-03-01,0.6325159
1984-04-01,0.80842656
1984-05-01,1.0648392
1984-06-01,1.2475116
1984-07-01,1.4206462
1984-08-01,1.376375
1984-09-01,1.1216713
1984-10-01,0.8610828
1984-11-01,0.6472294
1984-12-01,0.51478535
1985-01-01,0.46557608
1985-02-01,0.50442934
1985-03-01,0.6254088
1985-04-01,0.8608859
1985-05-01,1.0966054
1985-06-01,1.2631353
1985-07-01,1.438868
1985-08-01,1.3987064
1985-09-01,1.100015
1985-10-01,0.85681677
1985-11-01,0.61122435
1985-12-01,0.5478397
1986-01-01,0.5403935
1986-02-01,0.50449044
1986-03-01,0.6627262
1986-04-01,0.84283566
1986-05-01,1.0931401
1986-06-01,1.3140268
1986-07-01,1.4101176
1986-08-01,1.3839726
1986-09-01,1.0726216
1986-10-01,0.854444
1986-11-01,0.6499866
1986-12-01,0.5377197
1987-01-01,0.46892408
1987-02-01,0.5613101
1987-03-01,0.600722
1987-04-01,0.8513429
1987-05-01,1.0615212
1987-06-01,1.2931145
1987-07-01,1.4402723
1987-08-01,1.3506327
1987-09-01,1.1570262
1987-10-01,0.86877835
1987-11-01,0.6562585
1987-12-01,0.5482037
1988-01-01,0.53636575
1988-02-01,0.5563425
1988-03-01,0.6487409
1988-04-01,0.82602566
1988-05-01,1.0680326
1988-06-01,1.2857679
1988-07-01,1.4622601
1988-08-01,1.3736243
1988-09-01,1.1215767
1988-10-01,0.8611634
1988-11-01,0.61776924
1988-12-01,0.55050945
1989-01-01,0.5308955
1989-02-01,0.5653616
1989-03-01,0.69603485
1989-04-01,0.8664123
1989-05-01,1.0720637
1989-06-01,1.2704322
1989-07-01,1.4447824
1989-08-01,1.3632439
1989-09-01,1.1172867
1989-10-01,0.87415904
1989-11-01,0.64326686
1989-12-01,0.5464159
1990-01-01,0.5420479
1990-02-01,0.6067949
1990-03-01,0.71267784
1990-04-01,0.8426117
1990-05-01,1.0479516
1990-06-01,1.2676508
1990-07-01,1.4155623
1990-08-01,1.3724484
1990-09-01,1.1048108
1990-10-01,0.87710655
1990-11-01,0.67495906
1990-12-01,0.52750516
1991-01-01,0.5213272
1991-02-01,0.5483744
1991-03-01,0.6711934
1991-04-01,0.81948197
1991-05-01,1.0069267
1991-06-01,1.2639865
1991-07-01,1.4640808
1991-08-01,1.3901997
1991-09-01,1.1558381
1991-10-01,0.8643613
1991-11-01,0.6390236
1991-12-01,0.53026086
1992-01-01,0.5159456
1992-02-01,0.5732924
1992-03-01,0.6769807
1992-04-01,0.84530854
1992-05-01,1.0827338
1992-06-01,1.2604945
1992-07-01,1.3897538
1992-08-01,1.3947941
1992-09-01,1.091271
1992-10-01,0.82027835
1992-11-01,0.6449877
1992-12-01,0.53166074
1993-01-01,0.5322672
1993-02-01,0.5531575
1993-03-01,0.66841054
1993-04-01,0.84101903
1993-05-01,1.0977156
1993-06-01,1.2784266
1993-07-01,1.3770921
1993-08-01,1.3470151
1993-09-01,1.0831493
1993-10-01,0.8588327
1993-11-01,0.60309625
1993-12-01,0.56574005
1994-01-01,0.54403853
1994-02-01,0.5332985
1994-03-01,0.67681396
1994-04-01,0.84576577
1994-05-01,1.0351021
1994-06-01,1.2575786
1994-07-01,1.437629
1994-08-01,1.3517843
1994-09-01,1.112878
1994-10-01,0.8293952
1994-11-01,0.661952
1994-12-01,0.55011606
1995-01-01,0.5262576
1995-02-01,0.6051151
1995-03-01,0.66090906
1995-04-01,0.8089533
1995-05-01,1.0084777
1995-06-01,1.2333964
1995-07-01,1.4078951
1995-08-01,1.3649285
1995-09-01,1.076067
1995-10-01,0.87461865
1995-11-01,0.64377534
1995-12-01,0.5215466
1996-01-01,0.51316154
1996-02-01,0.5468149
1996-03-01,0.6325876
1996-04-01,0.8253289
1996-05-01,1.0671656
1996-06-01,1.280602
1996-07-01,1.4036491
1996-08-01,1.3545235
1996-09-01,1.0584304
1996-10-01,0.85503507
1996-11-01,0.65704614
1996-12-01,0.53923196
1997-01-01,0.50360733
1997-02-01,0.5769099
1997-03-01,0.6878591
1997-04-01,0.77501565
1997-05-01,1.0305116
1997-06-01,1.2128026
1997-07-01,1.3339636
1997-08-01,1.3442053
1997-09-01,1.083876
1997-10-01,0.8252358
1997-11-01,0.6527884
1997-12-01,0.5456018
1998-01-01,0.5370328
1998-02-01,0.5967888
1998-03-01,0.6564664
1998-04-01,0.8253639
1998-05-01,1.0115757
1998-06-01,1.2128923
1998-07-01,1.3608674
1998-08-01,1.3291239
1998-09-01,1.115896
1998-10-01,0.835026
1998-11-01,0.62322366
1998-12-01,0.5313226
1999-01-01,0.53833276
1999-02-01,0.578517
1999-03-01,0.6640221
1999-04-01,0.8226931
1999-05-01,1.0027953
1999-06-01,1.2149268
1999-07-01,1.3798773
1999-08-01,1.3020914
1999-09-01,1.1159953
1999-10-01,0.8459664
1999-11-01,0.64378
1999-12-01,0.5433263
2000-01-01,0.51814157
2000-02-01,0.5785157
2000-03-01,0.6682438
2000-04-01,0.8512472
2000-05-01,1.0532992
2000-06-01,1.2407583
2000-07-01,1.3331162
2000-08-01,1.3313226
2000-09-01,1.0795848
2000-10-01,0.84355044
2000-11-01,0.62675095
2000-12-01,0.5528698
2001-01-01,0.525162
2001-02-01,0.5590419
2001-03-01,0.673642
2001-04-01,0.811905
2001-05-01,1.0565869
2001-06-01,1.203188
2001-07-01,1.379712
2001-08-01,1.3262689
2001-09-01,1.058887
2001-10-01,0.87995917
2001-11-01,0.64953053
2001-12-01,0.51830053
2002-01-01,0.53838146
2002-02-01,0.61387515
2002-03-01,0.69275725
2002-04-01,0.8375295
2002-05-01,1.0253923
2002-06-01,1.2592627
2002-07-01,1.4081181
2002-08-01,1.313502
2002-09-01,1.087379
2002-10-01,0.8261163
2002-11-01,0.6665789
2002-12-01,0.54163355
2003-01-01,0.53507406
2003-02-01,0.5521016
2003-03-01,0.673961
2003-04-01,0.81936014
2003-05-01,1.0660566
2003-06-01,1.2601349
2003-07-01,1.4056166
2003-08-01,1.3819757
2003-09-01,1.1084692
2003-10-01,0.8476148
2003-11-01,0.6646206
2003-12-01,0.56009513
2004-01-01,0.53945833
2004-02-01,0.5858029
2004-03-01,0.7250431
2004-04-01,0.87927055
2004-05-01,1.0377345
2004-06-01,1.2354791
2004-07-01,1.3646013
2004-08-01,1.3221123
2004-09-01,1.125548
2004-10-01,0.8696068
2004-11-01,0.67059386
2004-12-01,0.56798255
2005-01-01,0.5521914
2005-02-01,0.576241
2005-03-01,0.6817753
2005-04-01,0.8577219
2005-05-01,1.0534656
2005-06-01,1.2856445
2005-07-01,1.4355197
2005-08-01,1.3364271
2005-09-01,1.1355585
2005-10-01,0.8870524
2005-11-01,0.67964864
2005-12-01,0.5582776
2006-01-01,0.54457307
2006-02-01,0.58386403
2006-03-01,0.6679963
2006-04-01,0.86121154
2006-05-01,1.0711459
2006-06-01,1.3055694
2006-07-01,1.496067
2006-08-01,1.3380016
2006-09-01,1.1286684
2006-10-01,0.9099445
2006-11-01,0.7003568
2006-12-01,0.57998204
2007-01-01,0.5709796
2007-02-01,0.6169095
2007-03-01,0.74026555
2007-04-01,0.88297874
2007-05-01,1.1106786
2007-06-01,1.3025651
2007-07-01,1.4024947
2007-08-01,1.3882945
2007-09-01,1.1224394
2007-10-01,0.8786919
2007-11-01,0.6722291
2007-12-01,0.56478053
2008-01-01,0.56559855
2008-02-01,0.604993
2008-03-01,0.74474853
2008-04-01,0.89188373
2008-05-01,1.0940893
2008-06-01,1.3090053
2008-07-01,1.4543804
2008-08-01,1.3963925
2008-09-01,1.1389545
2008-10-01,0.91170704
2008-11-01,0.71274835
2008-12-01,0.5765768
2009-01-01,0.5526655
2009-02-01,0.6259125
2009-03-01,0.7212655
2009-04-01,0.9034812
2009-05-01,1.1227486
2009-06-01,1.3071307
2009-07-01,1.4571605
2009-08-01,1.3898915
2009-09-01,1.1857693
2009-10-01,0.885438
2009-11-01,0.7168131
2009-12-01,0.5662984
2010-01-01,0.53924626
2010-02-01,0.5969111
2010-03-01,0.7128599
2010-04-01,0.86995304
2010-05-01,1.0455894
2010-06-01,1.3153343
2010-07-01,1.5034653
2010-08-01,1.3856947
2010-09-01,1.1361156
2010-10-01,0.8783925
2010-11-01,0.6902031
2010-12-01,0.5516878
2011-01-01,0.5415582
2011-02-01,0.5960232
2011-03-01,0.6974275
2011-04-01,0.89913446
2011-05-01,1.0744952
2011-06-01,1.3128346
2011-07-01,1.4496703
2011-08-01,1.4142009
2011-09-01,1.1799237
2011-10-01,0.9052479
2011-11-01,0.69777215
2011-12-01,0.5873871
2012-01-01,0.56683147
2012-02-01,0.5755022
2012-03-01,0.7430183
2012-04-01,0.9079638
2012-05-01,1.1384423
2012-06-01,1.3170068
2012-07-01,1.4576395
2012-08-01,1.417598
2012-09-01,1.1535081
2012-10-01,0.9037795
2012-11-01,0.70655954
2012-12-01,0.58646506
2013-01-01,0.5695589
2013-02-01,0.6194756
2013-03-01,0.7258025
2013-04-01,0.8947072
2013-05-01,1.1372904
2013-06-01,1.3426102
2013-07-01,1.4897614
2013-08-01,1.4143424
2013-09-01,1.1672767
2013-10-01,0.9148666
2013-11-01,0.7145132
2013-12-01,0.59082276
2014-01-01,0.59787804
2014-02-01,0.6388345
2014-03-01,0.76949567
2014-04-01,0.95208895
2014-05-01,1.1369536
2014-06-01,1.3395267
2014-07-01,1.4854412
2014-08-01,1.4019449
2014-09-01,1.1977917
2014-10-01,0.968083
2014-11-01,0.72435373
2014-12-01,0.61739075
2015-01-01,0.5955009
2015-02-01,0.6407039
2015-03-01,0.7745006
2015-04-01,0.9175518
2015-05-01,1.12818
2015-06-01,1.358513
2015-07-01,1.4932462
2015-08-01,1.455472
2015-09-01,1.2224841
2015-10-01,0.9513683
2015-11-01,0.7506527
2015-12-01,0.64729756
2016-01-01,0.5897243
2016-02-01,0.6758671
2016-03-01,0.7835289
2016-04-01,0.96591705
2016-05-01,1.1372497
2016-06-01,1.3821181
2016-07-01,1.5042322
2016-08-01,1.4548972
2016-09-01,1.2240003
2016-10-01,0.9305872
2016-11-01,0.72425807
2016-12-01,0.6124637
2017-01-01,0.58569884
2017-02-01,0.6716203
2017-03-01,0.7919677
2017-04-01,0.93698305
2017-05-01,1.172451
2017-06-01,1.4055895
2017-07-01,1.5504678
2017-08-01,1.4678487
2017-09-01,1.2231722
2017-10-01,0.95694107
2017-11-01,0.7386304
2017-12-01,0.62448347
2018-01-01,0.6098456
2018-02-01,0.6238955
2018-03-01,0.7609303
2018-04-01,0.9584938
2018-05-01,1.2067672
2018-06-01,1.3980953
2018-07-01,1.5653929
2018-08-01,1.4797642
2018-09-01,1.2128456
2018-10-01,0.9334287
2018-11-01,0.7214099
2018-12-01,0.62717503
2019-01-01,0.59934604
2019-02-01,0.6400281
2019-03-01,0.75898105
2019-04-01,0.9482899
2019-05-01,1.0965412
2019-06-01,1.4129335
2019-07-01,1.4944751
2019-08-01,1.4510225
2019-09-01,1.2297791
2019-10-01,0.93221784
2019-11-01,0.72814167
2019-12-01,0.6350625
2020-01-01,0.62191194
2020-02-01,0.6830651
2020-03-01,0.78663695
2020-04-01,0.93651134
2020-05-01,1.1671972
2020-06-01,1.4162362
2020-07-01,1.5335234
2020-08-01,1.523307
2020-09-01,1.2563895
2020-10-01,0.9634645
2020-11-01,0.74993116
2020-12-01,0.61735916
2021-01-01,0.59545577
2021-02-01,0.6487295
2021-03-01,0.7761443
2021-04-01,0.9139459
2021-05-01,1.1401204
2021-06-01,1.4437356
2021-07-01,1.5805515
2021-08-01,1.468421
2021-09-01,1.2566118
2021-10-01,0.9421052
2021-11-01,0.7443881
2021-12-01,0.63707244
2022-01-01,0.6002968
2022-02-01,0.6459686
2022-03-01,0.7758375
2022-04-01,0.95425
2022-05-01,1.1629983
2022-06-01,1.4349655
2022-07-01,1.558319
2022-08-01,1.5352823
2022-09-01,1.2473067
2022-10-01,0.98058957
2022-11-01,0.7352036
2022-12-01,0.60663146
