time,CH4_MAN_monthly
1970-01-01,0.4326052
1970-02-01,0.47481322
1970-03-01,0.5261174
1970-04-01,0.68195945
1970-05-01,0.89628077
1970-06-01,1.0978458
1970-07-01,1.2268656
1970-08-01,1.1667258
1970-09-01,0.9445537
1970-10-01,0.7134281
1970-11-01,0.56454074
1970-12-01,0.44965982
1971-01-01,0.45590603
1971-02-01,0.48098177
1971-03-01,0.54432917
1971-04-01,0.717041
1971-05-01,0.918609
1971-06-01,1.1042515
1971-07-01,1.2864572
1971-08-01,1.2568631
1971-09-01,0.9894514
1971-10-01,0.7490294
1971-11-01,0.56731
1971-12-01,0.49102485
1972-01-01,0.42344925
1972-02-01,0.48563957
1972-03-01,0.613159
1972-04-01,0.7431822
1972-05-01,0.9497589
1972-06-01,1.1604019
1972-07-01,1.3065273
1972-08-01,1.2380093
1972-09-01,0.9530501
1972-10-01,0.7425256
1972-11-01,0.57689255
1972-12-01,0.4775948
1973-01-01,0.45357
1973-02-01,0.51904386
1973-03-01,0.5881286
1973-04-01,0.73629636
1973-05-01,0.9603183
1973-06-01,1.175598
1973-07-01,1.2740346
1973-08-01,1.2444829
1973-09-01,0.9885551
1973-10-01,0.7495852
1973-11-01,0.56442446
1973-12-01,0.47631633
1974-01-01,0.47665566
1974-02-01,0.5170524
1974-03-01,0.6125903
1974-04-01,0.74103844
1974-05-01,0.9429553
1974-06-01,1.1495348
1974-07-01,1.2840638
1974-08-01,1.2402531
1974-09-01,1.0253758
1974-10-01,0.7665163
1974-11-01,0.59354174
1974-12-01,0.5103291
1975-01-01,0.4917257
1975-02-01,0.49244258
1975-03-01,0.579995
1975-04-01,0.7280139
1975-05-01,0.9508353
1975-06-01,1.154185
1975-07-01,1.3008488
1975-08-01,1.2572343
1975-09-01,1.0569288
1975-10-01,0.74664557
1975-11-01,0.55339354
1975-12-01,0.47259498
1976-01-01,0.4649434
1976-02-01,0.49687836
1976-03-01,0.5583667
1976-04-01,0.73887485
1976-05-01,0.9559942
1976-06-01,1.168372
1976-07-01,1.303976
1976-08-01,1.1959901
1976-09-01,0.994738
1976-10-01,0.75074816
1976-11-01,0.58306974
1976-12-01,0.48001173
1977-01-01,0.44138393
1977-02-01,0.53394467
1977-03-01,0.6249738
1977-04-01,0.7610532
1977-05-01,0.9439599
1977-06-01,1.1823103
1977-07-01,1.2945428
1977-08-01,1.2277349
1977-09-01,1.0044165
1977-10-01,0.79776096
1977-11-01,0.6170948
1977-12-01,0.5047492
1978-01-01,0.48888245
1978-02-01,0.50124234
1978-03-01,0.6466145
1978-04-01,0.763958
1978-05-01,0.98198694
1978-06-01,1.1903617
1978-07-01,1.3278807
1978-08-01,1.2677443
1978-09-01,1.0517777
1978-10-01,0.83158326
1978-11-01,0.6146076
1978-12-01,0.4877042
1979-01-01,0.45412254
1979-02-01,0.50487465
1979-03-01,0.62148297
1979-04-01,0.76065063
1979-05-01,1.0285172
