time,global_total_Tg_month
2001-01-16,11.666467289928963
2001-02-15,10.742078925893505
2001-03-16,14.312464480821381
2001-04-16,13.28215642562111
2001-05-16,13.739131554947239
2001-06-16,14.709867562401556
2001-07-16,16.09225997941201
2001-08-16,14.885246015117039
2001-09-16,13.418245813514227
2001-10-16,13.170512873821265
2001-11-16,12.022551933455924
2001-12-16,12.271853546962285
2002-01-16,11.025589202555748
2002-02-15,11.47353413305822
2002-03-16,14.478019019416518
2002-04-16,13.859813317267577
2002-05-16,13.278726319374488
2002-06-16,14.74228779280913
2002-07-16,16.66105986072021
2002-08-16,15.101173908071889
2002-09-16,13.143583821423286
2002-10-16,12.344221865475749
2002-11-16,11.657009425933104
2002-12-16,12.222798802769855
2003-01-16,10.83451800994837
2003-02-15,11.314228133289197
2003-03-16,13.882343146085745
2003-04-16,13.42932533811152
2003-05-16,13.810324397927102
2003-06-16,15.341486303823952
2003-07-16,15.744965584213299
2003-08-16,15.693218081382538
2003-09-16,13.957030824483724
2003-10-16,13.171688884658305
2003-11-16,11.629059631603997
2003-12-16,11.74341237292293
2004-01-16,11.952044209462557
2004-02-15,11.364648261924604
2004-03-16,13.071681836185174
2004-04-16,13.431639974550814
2004-05-16,13.126653815243412
2004-06-16,13.668966727517128
2004-07-16,15.897466212532535
2004-08-16,14.507323261637886
2004-09-16,14.051019404627578
2004-10-16,12.71114510173923
2004-11-16,11.742828048845043
2004-12-16,11.24851108577835
2005-01-16,11.072041886746288
2005-02-15,11.594761990816089
2005-03-16,13.826093180725746
2005-04-16,13.507331442790395
2005-05-16,13.635063435896997
2005-06-16,14.648353799635162
2005-07-16,16.285563010265292
2005-08-16,15.229818830939022
2005-09-16,13.79656345654154
2005-10-16,13.685482581044505
2005-11-16,12.50478454906659
2005-12-16,12.83573407946007
2006-01-16,13.013782010657927
2006-02-15,12.100284102382496
2006-03-16,13.943589827500073
2006-04-16,13.530710965140528
2006-05-16,14.094869916845042
2006-06-16,14.068728038544245
2006-07-16,16.591643544048843
2006-08-16,14.604724331613477
2006-09-16,13.13465377032672
2006-10-16,13.116460923906008
2006-11-16,12.545659124449356
2006-12-16,12.176192084917687
2007-01-16,11.465493304429868
2007-02-15,10.007747301013692
2007-03-16,13.643808664298653
2007-04-16,13.988453168709515
2007-05-16,13.941617809063711
2007-06-16,14.792160944456407
2007-07-16,16.622162225006015
2007-08-16,16.248353034224568
2007-09-16,13.883377788332538
2007-10-16,13.711463592655974
2007-11-16,12.250356735236355
2007-12-16,12.760341707723843
2008-01-16,12.358738782581977
2008-02-15,11.099189761466096
2008-03-16,13.488371277503411
2008-04-16,13.745999848534886
2008-05-16,13.204273792861523
2008-06-16,14.423822981101726
2008-07-16,16.668036195320827
2008-08-16,15.856320776879722
2008-09-16,13.039949126421236
2008-10-16,13.7133335907546
2008-11-16,12.882033563340803
2008-12-16,12.925587191005938
2009-01-16,12.892918131979371
2009-02-15,13.192167214224098
2009-03-16,14.030228786323553
2009-04-16,13.868410061337682
2009-05-16,13.721588871218158
2009-06-16,14.296741633669505
2009-07-16,15.403730847589223
2009-08-16,15.566342782800717
2009-09-16,12.299809204201575
2009-10-16,13.269563357378598
2009-11-16,11.663236622566878
2009-12-16,12.770033007243805
2010-01-16,11.343132768531143
2010-02-15,12.821100157870458
2010-03-16,14.377598422266598
2010-04-16,15.005653364057126
2010-05-16,14.957590318356194
2010-06-16,14.547284554838777
2010-07-16,17.514230625552813
2010-08-16,16.543588416460228
2010-09-16,14.293897849083143
2010-10-16,13.233044229920065
2010-11-16,12.694713474026827
2010-12-16,11.928714928229786
2011-01-16,11.732896184876113
2011-02-15,12.555460789440753
2011-03-16,14.178769762499915
2011-04-16,14.171713844377555
2011-05-16,13.23522621510351
2011-06-16,14.68461235636827
2011-07-16,15.920129805147225
2011-08-16,14.932309325776298
2011-09-16,13.601523441980735
2011-10-16,14.261108631432354
2011-11-16,12.266495822858875
2011-12-16,11.756712746403249
2012-01-16,11.752927636303372
2012-02-15,12.262116528813543
2012-03-16,14.033501445408998
2012-04-16,13.326644268970995
2012-05-16,13.829602650312728
2012-06-16,14.502941893124294
2012-07-16,16.08909609407326
2012-08-16,15.14736814349908
2012-09-16,13.319431399622816
2012-10-16,12.953395768670314
2012-11-16,11.897372239455207
2012-12-16,12.489888394288627
2013-01-16,11.991451456939009
2013-02-15,12.447097540669509
2013-03-16,14.362706199753209
2013-04-16,13.530993186861219
2013-05-16,13.897144840332873
2013-06-16,14.564612679623558
2013-07-16,16.365982658589957
2013-08-16,15.179302540192309
2013-09-16,12.770468654271639
2013-10-16,12.871158200432008
2013-11-16,12.85638235513453
2013-12-16,12.09757483271616
2014-01-16,11.424226607342897
2014-02-15,11.456129659139455
2014-03-16,13.776432957086083
2014-04-16,14.26778401334102
2014-05-16,14.381007878951284
2014-06-16,14.882661448167287
2014-07-16,15.476939603402313
2014-08-16,15.693023431099709
2014-09-16,12.973930998751795
2014-10-16,13.07311514931256
2014-11-16,12.413462613575039
2014-12-16,11.541921880454806
2015-01-16,10.919001217148585
2015-02-15,11.271190722741629
2015-03-16,13.938013821342453
2015-04-16,14.046472550935597
2015-05-16,14.245678460934585
2015-06-16,14.631476400875025
2015-07-16,16.679104434151814
2015-08-16,14.577862387369157
2015-09-16,12.057139835101728
2015-10-16,12.21230586156876
2015-11-16,12.728636923030168
2015-12-16,11.339016688939877
2016-01-16,10.5132140744111
2016-02-15,12.099240492661561
2016-03-16,15.760576837051644
2016-04-16,15.409068399525502
2016-05-16,14.32923043606312
2016-06-16,15.171918123432231
2016-07-16,17.638140695901413
2016-08-16,16.791720473689004
2016-09-16,14.901071226655786
2016-10-16,13.343769451789619
2016-11-16,11.958973112220685
2016-12-16,13.690865689013236
2017-01-16,13.434506505187152
2017-02-15,12.620527242159907
2017-03-16,14.929531104914926
2017-04-16,15.289991124328767
2017-05-16,14.69929153244217
2017-06-16,15.70007516302727
2017-07-16,15.578222814791733
2017-08-16,15.888234705962626
2017-09-16,14.085935054815662
2017-10-16,14.172105745733983
2017-11-16,12.546443042236387
2017-12-16,12.357578114832087
2018-01-16,11.18821264184184
2018-02-15,12.215673397032356
2018-03-16,13.455969406379019
2018-04-16,14.088750945715857
2018-05-16,14.504936780612809
2018-06-16,14.384654244542116
2018-07-16,16.109187784410864
2018-08-16,15.567581677214527
2018-09-16,13.61862898838031
2018-10-16,13.23545669104652
2018-11-16,13.764666629056363
2018-12-16,12.438225784515524
2019-01-16,12.315623163937053
2019-02-15,11.71100338907264
2019-03-16,13.051622040627716
2019-04-16,14.41159760003205
2019-05-16,15.085144624782728
2019-06-16,14.597025941850033
