time;coal;gas;oil
01.10.2010;2.9907734;3.2403088;2.59013
01.11.2010;2.894297;3.1357822;2.5065773
01.12.2010;2.9907734;3.2403088;2.59013
01.01.2011;3.2985926;3.3249052;2.5847056
01.02.2011;2.9793737;3.0031397;2.334573
01.03.2011;3.2985926;3.3249052;2.5847056
01.04.2011;3.1921864;3.2176497;2.5013275
01.05.2011;3.2985926;3.3249052;2.5847056
01.06.2011;3.1921864;3.2176497;2.5013275
01.07.2011;3.2985926;3.3249052;2.5847056
01.08.2011;3.2985926;3.3249052;2.5847056
01.09.2011;3.1921864;3.2176497;2.5013275
01.10.2011;3.2985926;3.3249052;2.5847056
01.11.2011;3.1921864;3.2176497;2.5013275
01.12.2011;3.2985926;3.3249052;2.5847056
01.01.2012;3.3798344;3.3712032;2.6339118
01.02.2012;3.1617804;3.1537066;2.463982
01.03.2012;3.3798344;3.3712032;2.6339118
01.04.2012;3.270807;3.2624545;2.5489466
01.05.2012;3.3798344;3.3712032;2.6339118
01.06.2012;3.270807;3.2624545;2.5489466
01.07.2012;3.3798344;3.3712032;2.6339118
01.08.2012;3.3798344;3.3712032;2.6339118
01.09.2012;3.270807;3.2624545;2.5489466
01.10.2012;3.3798344;3.3712032;2.6339118
01.11.2012;3.270807;3.2624545;2.5489466
01.12.2012;3.3798344;3.3712032;2.6339118
01.01.2013;3.305334;3.4480565;2.5829165
01.02.2013;2.985463;3.1143737;2.3329568
01.03.2013;3.305334;3.4480565;2.5829165
01.04.2013;3.1987104;3.336829;2.4995968
01.05.2013;3.305334;3.4480565;2.5829165
01.06.2013;3.1987104;3.336829;2.4995968
01.07.2013;3.305334;3.4480565;2.5829165
01.08.2013;3.305334;3.4480565;2.5829165
01.09.2013;3.1987104;3.336829;2.4995968
01.10.2013;3.305334;3.4480565;2.5829165
01.11.2013;3.1987104;3.336829;2.4995968
01.12.2013;3.305334;3.4480565;2.5829165
01.01.2014;3.3380997;3.4911208;2.5884845
01.02.2014;3.0150578;3.1532705;2.3379855
01.03.2014;3.3380997;3.4911208;2.5884845
01.04.2014;3.2304187;3.3785038;2.5049849
01.05.2014;3.3380997;3.4911208;2.5884845
01.06.2014;3.2304187;3.3785038;2.5049849
01.07.2014;3.3380997;3.4911208;2.5884845
01.08.2014;3.3380997;3.4911208;2.5884845
01.09.2014;3.2304187;3.3785038;2.5049849
01.10.2014;3.3380997;3.4911208;2.5884845
01.11.2014;3.2304187;3.3785038;2.5049849
01.12.2014;3.3380997;3.4911208;2.5884845
01.01.2015;3.239622;3.5400612;2.6083164
